Year,Project Name,Token Ticker,Listing Date (First TT Data),Market Cap at Listing ($),Market Cap 12 Months After ($),FDV at Listing ($),FDV 12 Months After ($),MC / FDV at Listing,MC / FDV 12 Months After,Average Market Cap (Both Dates) ($),Sector / Vertical,Token Price at Listing ($),Token Price 12 Months After ($),Change in Token Price after 12 Months,Qualifies Because,Market Cap 6 Months After ($),Market Cap 24 Months After ($),FDV 6 Months After ($),FDV 24 Months After ($),Token Price 6 Months After ($),Token Price 24 Months After ($)
2017,EOS,EOS,7/8/17,"$447,319,431 ","$7,730,668,950 ","$2,200,000,000 ","$8,600,000,000 ",20.30%,89.90%,"$4,088,994,191 ",Layer 1 (blockchains-l1),$2.20 ,$8.60 ,291%,MC at listing > $100M,"$5,857,804,415.00 ","$6,194,645,792.00 ","$20,818,618,800.00 ","$12,483,662,100.00 ",$9.91 ,$5.94 
2017,BNB Chain,BNB,9/15/17,"$10,725,062 ","$965,043,149 ","$1,778,164 ","$167,666,654 ",603.20%,575.60%,"$487,884,106 ",Layer 1 (blockchains-l1),$0.10 ,$10.10 ,10000%,MC at 12 months > $100M,"$888,364,962.00 ","$3,266,441,900.00 ","$147,286,663.17 ","$541,560,449.22 ",$8.97 ,$21.00 
2017,0x,ZRX,10/16/17,"$110,401,110 ","$499,278,414 ","$220,802,220 ","$865,600,264 ",50.00%,57.70%,"$304,839,762 ",Exchange (CEX/DEX),$0.20 ,$0.90 ,350%,MC at listing > $100M,"$412,353,540.00 ","$190,662,953.00 ","$824,707,080.00 ","$381,325,906.00 ",$0.79 ,$0.32 
2017,Cardano,ADA,10/17/17,"$696,021,404 ","$2,450,912,180 ","$1,208,040,960 ","$3,544,580,878 ",57.60%,69.10%,"$1,573,466,792 ",Layer 1 (blockchains-l1),$0.10 ,$0.10 ,0%,MC at listing > $100M,"$6,642,638,169.00 ","$1,200,535,132.00 ","$11,529,212,958.82 ","$2,083,693,985.62 ",$0.26 ,$0.04 
2017,Chainlink,LINK,11/8/17,"$78,881,828 ","$182,633,853 ","$225,376,652 ","$503,113,530 ",35.00%,36.30%,"$130,757,841 ",Oracles,$0.20 ,$0.50 ,150%,MC at 12 months > $100M,"$200,550,376.00 ","$977,240,390.00 ","$573,001,075.74 ","$2,792,115,407.08 ",$0.57 ,$2.68 
2017,Tron,TRX,11/8/17,"$156,404,162 ","$1,530,190,198 ","$238,682,246 ","$2,307,638,029 ",65.50%,66.30%,"$843,297,180 ",Layer 1 (blockchains-l1),$0.10 ,$0.01 ,-90%,MC at listing > $100M,"$5,461,069,519.00 ","$1,292,913,174.00 ","$8,333,923,609.76 ","$1,973,063,992.08 ",$0.08 ,$0.02 
2018,Huobi,HUOBI,4/26/18,"$108,022,587 ","$88,151,115 ","$1,080,221,546 ","$1,095,810,992 ",10.00%,8.00%,"$98,086,851 ",Exchange (CEX/DEX),$2.20 ,$2.20 ,0%,MC at listing > $100M,"$358,319,714.00 ","$926,080,479.00 ","$3,583,182,796.94 ","$9,260,767,720.23 ",$1.61 ,$3.97 
2018,Tezos,XTZ,7/4/18,"$1,196,384,008 ","$965,798,420 ","$1,503,250,499 ","$1,188,502,513 ",79.60%,81.30%,"$1,081,091,214 ",Layer 1 (blockchains-l1),$2.00 ,$1.20 ,-40%,MC at listing > $100M,"$363,751,948.00 ","$1,634,223,011.00 ","$457,052,496.26 ","$2,053,393,007.88 ",$0.47 ,$2.28 
2018,VeChain,VET,7/26/18,"$1,317,938,664 ","$329,630,754 ","$2,160,555,186 ","$515,285,902 ",61.00%,64.00%,"$823,784,709 ",Layer 1 (blockchains-l1),$0.01 ,$0.01 ,0%,MC at listing > $100M,"$238,329,490.00 ","$1,166,739,251.00 ","$390,704,081.81 ","$1,912,687,295.94 ",$0.00 ,$0.02 
2019,Cosmos,ATOM,3/15/19,"$1,472,326,624 ","$340,950,990 ","$1,472,326,624 ","$453,600,000 ",100.00%,75.20%,"$906,638,807 ",Layer 1 (blockchains-l1),$6.20 ,$1.80 ,-71%,MC at listing > $100M,"$758,949,999.00 ","$4,472,796,553.00 ","$1,569,357,493.37 ","$9,429,491,419.85 ",$3.11 ,$18.67 
2019,Cronos,CRONOS,3/16/19,"$336,514,727 ","$467,850,942 ","$8,393,442,396 ","$3,239,939,385 ",4.00%,14.40%,"$402,182,834 ",Layer 1 (blockchains-l1),$0.10 ,$0.10 ,0%,MC at listing > $100M,"$381,012,658.00 ","$4,479,323,268.00 ","$9,503,321,966.26 ","$111,724,506,556.35 ",$0.04 ,$0.18 
2019,Algorand,ALGO,6/21/19,"$101,085,455 ","$185,201,040 ","$31,723,644,757 ","$2,311,826,842 ",0.30%,8.00%,"$143,143,247 ",Layer 1 (blockchains-l1),$3.20 ,$0.20 ,-94%,MC at listing > $100M,"$122,727,055.00 ","$2,905,806,610.00 ","$38,515,427,317.34 ","$911,929,185,343.06 ",$0.24 ,$0.94 
2019,Hedera,HEDERA,9/17/19,"$181,921,869 ","$191,872,214 ","$5,720,157,781 ","$1,807,471,875 ",3.20%,10.60%,"$186,897,041 ",Layer 1 (blockchains-l1),$0.10 ,$0.10 ,0%,MC at listing > $100M,"$124,208,802.00 ","$4,605,779,511.00 ","$3,905,489,478.17 ","$144,819,232,851.09 ",$0.04 ,$0.48 
2019,Stacks,STACKS,11/6/19,"$78,696,403 ","$135,313,098 ","$368,701,579 ","$278,184,140 ",21.30%,48.60%,"$107,004,750 ",Layer 2 (blockchains-l2),$0.20 ,$0.20 ,0%,MC at 12 months > $100M,"$66,552,992.00 ","$2,102,829,007.00 ","$311,808,320.36 ","$9,851,992,539.58 ",$0.11 ,$1.99 
2020,Kusama,KUSAMA,1/20/20,"$7,259,240 ","$919,516,073 ","$10,884,586 ","$1,022,113,961 ",66.70%,90.00%,"$463,387,656 ",Layer 1 (blockchains-l1),$1.10 ,$102.20 ,9191%,MC at 12 months > $100M,"$80,068,254.00 ","$2,196,644,137.00 ","$120,055,239.46 ","$3,293,672,894.21 ",$9.49 ,$243.95 
2020,Solana,SOL,4/10/20,"$7,827,652 ","$7,243,681,262 ","$467,915,521 ","$13,111,897,232 ",1.70%,55.20%,"$3,625,754,457 ",Layer 1 (blockchains-l1),$1.00 ,$26.80 ,2580%,MC at 12 months > $100M,"$108,143,704.00 ","$37,007,525,656.00 ","$6,464,533,374.76 ","$2,212,208,162,581.59 ",$2.54 ,$113.01 
2020,Kadena,KADENA,4/21/20,"$1,677,344 ","$106,060,157 ","$1,773,326 ","$105,272,940 ",94.60%,100.70%,"$53,868,750 ",Layer 1 (blockchains-l1),$0.10 ,$0.90 ,800%,MC at 12 months > $100M,"$10,212,188.00 ","$924,393,234.00 ","$10,796,556.04 ","$977,289,426.66 ",$0.22 ,$5.39 
2020,Uma,UMA,4/28/20,"$15,431,362 ","$1,504,296,395 ","$139,634,229 ","$2,826,756,186 ",11.10%,53.20%,"$759,863,878 ",Infrastructure,$0.30 ,$25.00 ,8233%,MC at 12 months > $100M,"$398,398,959.00 ","$371,328,975.00 ","$3,605,004,631.11 ","$3,360,055,653.51 ",$7.25 ,$5.62 
2020,Rocketpool,ROCKETPOOL,5/1/20,"$18,713,638 ","$306,040,245 ","$21,280,883 ","$340,985,725 ",87.90%,89.80%,"$162,376,941 ",Liquid Staking,$1.20 ,$18.90 ,1475%,MC at 12 months > $100M,"$45,018,026.00 ","$480,348,079.00 ","$51,193,858.95 ","$546,245,004.23 ",$2.83 ,$29.70 
2020,Helium,HELIUM,5/5/20,"$7,541,812 ","$1,475,045,131 ","$1,949,195,751 ","$4,058,697,486 ",0.40%,36.30%,"$741,293,471 ",DePIN,$0.20 ,$18.20 ,9000%,MC at 12 months > $100M,"$34,925,108.00 ","$1,653,106,789.00 ","$9,026,461,030.43 ","$427,248,614,665.55 ",$0.77 ,$16.45 
2020,Justlend,JUSTLEND,5/7/20,"$3,433,835 ","$206,672,811 ","$89,100,597 ","$1,427,762,044 ",3.90%,14.50%,"$105,053,323 ",Lending,$0.01 ,$0.10 ,900%,MC at 12 months > $100M,"$28,160,841.00 ","$467,594,850.00 ","$730,712,962.36 ","$12,133,075,785.27 ",$0.02 ,$0.06 
2020,Compound,COMP,6/19/20,"$566,780,576 ","$1,460,449,940 ","$2,201,418,163 ","$2,742,219,684 ",25.70%,53.30%,"$1,013,615,258 ",Lending,$220.10 ,$274.20 ,25%,MC at listing > $100M,"$655,856,163.00 ","$196,726,017.00 ","$2,547,394,407.43 ","$764,098,568.82 ",$160.74 ,$28.74 
2020,Balancer,BAL,6/22/20,"$92,723,429 ","$172,430,834 ","$1,519,739,769 ","$898,250,360 ",6.10%,19.20%,"$132,577,131 ",Exchange (CEX/DEX),$15.20 ,$16.10 ,6%,MC at 12 months > $100M,"$133,026,099.00 ","$158,581,563.00 ","$2,180,301,733.29 ","$2,599,156,551.05 ",$12.68 ,$4.61 
2020,Nexusmutual,NEXUSMUTUAL,7/11/20,"$49,776,043 ","$568,797,393 ","$50,351,949 ","$512,553,903 ",98.90%,111.00%,"$309,286,718 ",Insurance,$10.50 ,$82.10 ,682%,MC at 12 months > $100M,"$327,981,359.00 ","$258,542,222.00 ","$331,776,084.76 ","$261,533,540.87 ",$48.74 ,$38.09 
2020,Yearnfinance,YEARNFINANCE,7/17/20,"$1,597,833 ","$989,733,666 ","$23,728,112 ","$1,016,419,296 ",6.70%,97.40%,"$495,665,749 ",Asset Management,$790.90 ,"$27,721.00 ",3405%,MC at 12 months > $100M,"$1,012,361,729.00 ","$197,250,728.00 ","$15,033,756,650.55 ","$2,929,209,351.71 ","$33,855.10 ","$6,258.24 "
2020,Curve,CRV,8/14/20,"$5,940,563 ","$824,077,682 ","$16,792,362,145 ","$4,271,716,019 ",0.00%,19.30%,"$415,009,123 ",Exchange (CEX/DEX),$11.10 ,$2.30 ,-79%,MC at 12 months > $100M,"$738,659,949.00 ","$561,746,873.00 ","$2,087,991,553,261.07 ","$1,587,906,217,851.29 ",$3.29 ,$1.43 
2020,Thesandbox,THESANDBOX,8/16/20,"$32,764,631 ","$567,028,907 ","$183,239,508 ","$1,905,980,681 ",17.90%,29.70%,"$299,896,769 ",Gaming,$0.10 ,$0.60 ,500%,MC at 12 months > $100M,"$158,948,934.00 ","$1,833,053,808.00 ","$888,937,966.78 ","$10,251,538,554.35 ",$0.24 ,$1.32 
2020,Energyweb,ENERGYWEB,8/17/20,"$392,336,221 ","$375,100,376 ","$758,643,137 ","$654,015,415 ",51.70%,57.40%,"$383,718,298 ",Layer 2 (blockchains-l2),$12.90 ,$9.50 ,-26%,MC at listing > $100M,"$521,004,269.00 ","$166,966,682.00 ","$1,007,442,830.58 ","$322,856,062.29 ",$15.72 ,$3.87 
2020,Polkadot,DOT,8/22/20,"$4,028,277,492 ","$28,485,595,630 ","$5,251,286,678 ","$32,534,082,703 ",76.70%,87.60%,"$16,256,936,561 ",Layer 1 (blockchains-l1),$4.50 ,$27.80 ,518%,MC at listing > $100M,"$37,996,210,717.00 ","$8,539,197,111.00 ","$49,532,087,982.75 ","$11,131,748,524.99 ",$39.72 ,$7.46 
2020,SushiSwap,SUSHI,8/27/20,"$6,122,354 ","$2,353,365,859 ","$212,800 ","$2,658,802,562 ",2877.00%,88.50%,"$1,179,744,106 ",Exchange (CEX/DEX),$2.60 ,$12.20 ,369%,MC at 12 months > $100M,"$1,962,640,045.00 ","$204,258,232.00 ","$68,217,192.53 ","$7,099,581.59 ",$15.34 ,$1.07 
2020,Arweave,ARWEAVE,8/31/20,"$260,520,090 ","$2,805,473,538 ","$392,022,222 ","$4,224,955,052 ",66.50%,66.40%,"$1,532,996,814 ",Layer 1 (blockchains-l1),$5.90 ,$64.00 ,985%,MC at listing > $100M,"$487,145,172.00 ","$508,107,839.00 ","$733,040,330.07 ","$764,584,274.71 ",$11.08 ,$10.09 
2020,Elrond,ELROND,9/2/20,"$240,940,944 ","$3,381,726,001 ","$358,812,149 ","$3,503,477,397 ",67.10%,96.50%,"$1,811,333,473 ",Layer 1 (blockchains-l1),$17.60 ,$171.80 ,876%,MC at listing > $100M,"$2,401,831,662.00 ","$1,208,370,696.00 ","$3,576,836,571.95 ","$1,799,520,160.51 ",$138.88 ,$52.83 
2020,Perpetualprotocol,PERPETUALPROTOCOL,9/8/20,"$9,000,641 ","$884,433,469 ","$180,543,521 ","$2,946,999,650 ",5.00%,30.00%,"$446,717,055 ",Derivatives,$1.20 ,$19.60 ,1533%,MC at 12 months > $100M,"$120,957,760.00 ","$46,815,287.00 ","$2,426,287,181.40 ","$939,066,090.03 ",$5.47 ,$0.66 
2020,Hegic,HEGIC,9/11/20,"$8,052,470 ","$113,149,362 ","$351,685,866 ","$579,111,150 ",2.30%,19.50%,"$60,600,916 ",Derivatives,$0.10 ,$0.20 ,100%,MC at 12 months > $100M,"$94,603,588.00 ","$9,336,372.00 ","$4,131,744,020.47 ","$407,759,367.26 ",$0.26 ,$0.01 
2020,Uniswap,UNI,9/16/20,"$219,913,213 ","$13,659,160,597 ","$3,443,832,391 ","$26,308,136,967 ",6.40%,51.90%,"$6,939,536,905 ",Exchange (CEX/DEX),$3.40 ,$26.30 ,674%,MC at listing > $100M,"$15,449,946,475.00 ","$4,438,359,067.00 ","$241,945,562,906.31 ","$69,504,530,943.41 ",$29.67 ,$5.88 
2020,Avalanche,AVAX,9/21/20,"$124,357,933 ","$12,727,023,984 ","$1,902,327,979 ","$21,873,308,667 ",6.50%,58.20%,"$6,425,690,958 ",Layer 1 (blockchains-l1),$5.30 ,$57.90 ,992%,MC at listing > $100M,"$4,421,209,366.00 ","$4,932,167,219.00 ","$67,632,117,027.54 ","$75,448,340,700.63 ",$34.44 ,$16.66 
2020,Secret,SECRET,9/30/20,"$26,125,583 ","$288,466,156 ","$82,430,491 ","$369,142,528 ",31.70%,78.10%,"$157,295,869 ",Layer 1 (blockchains-l1),$0.50 ,$1.90 ,280%,MC at 12 months > $100M,"$196,293,613.00 ","$174,911,238.00 ","$619,338,481.36 ","$551,873,588.04 ",$2.81 ,$0.96 
2020,Aave,AAVE,10/2/20,"$45,070,668 ","$4,130,149,242 ","$898,611,244 ","$5,014,043,459 ",5.00%,82.40%,"$2,087,609,955 ",Lending,$56.20 ,$313.40 ,458%,MC at 12 months > $100M,"$4,793,666,899.00 ","$1,050,640,793.00 ","$95,575,307,990.38 ","$20,947,495,830.21 ",$383.02 ,$74.52 
2020,Dodo,DODO,10/2/20,"$4,975,347 ","$143,200,376 ","$493,586,085 ","$1,372,786,429 ",1.00%,10.40%,"$74,087,862 ",Exchange (CEX/DEX),$0.50 ,$1.40 ,180%,MC at 12 months > $100M,"$441,603,889.00 ","$54,352,389.00 ","$43,809,916,110.83 ","$5,392,102,881.85 ",$4.03 ,$0.13 
2020,Phala,PHALA,10/5/20,"$14,312,160 ","$130,335,194 ","$104,501,933 ","$716,789,993 ",13.70%,18.20%,"$72,323,677 ",Layer 2 (blockchains-l2),$0.10 ,$0.70 ,600%,MC at 12 months > $100M,"$164,409,852.00 ","$38,751,527.00 ","$1,200,458,025.78 ","$282,948,868.53 ",$0.93 ,$0.09 
2020,Venus,VENUS,10/8/20,"$10,016,191 ","$315,431,059 ","$81,021,055 ","$839,281,608 ",12.40%,37.60%,"$162,723,625 ",Lending,$2.70 ,$28.00 ,937%,MC at 12 months > $100M,"$494,550,758.00 ","$75,372,242.00 ","$4,000,425,327.77 ","$609,686,712.70 ",$53.04 ,$5.30 
2020,Alpha,ALPHA,10/9/20,"$9,013,397 ","$421,130,081 ","$51,652,017 ","$1,035,345,639 ",17.50%,40.70%,"$215,071,739 ",Lending,$0.10 ,$1.00 ,900%,MC at 12 months > $100M,"$438,741,142.00 ","$52,723,496.00 ","$2,514,242,402.19 ","$302,136,354.55 ",$1.75 ,$0.12 
2020,Filecoin,FIL,10/14/20,"$915,358,567 ","$7,905,519,801 ","$122,076,840,290 ","$137,799,981,469 ",0.70%,5.70%,"$4,410,439,184 ",Infrastructure,$61.00 ,$70.30 ,15%,MC at listing > $100M,"$10,990,468,386.00 ","$1,537,836,330.00 ","$1,465,744,356,626.55 ","$205,093,617,755.55 ",$164.61 ,$5.16 
2020,Orbs,ORBS,10/16/20,"$29,796,053 ","$341,785,398 ","$132,071,585 ","$1,205,642,447 ",22.60%,28.30%,"$185,790,725 ",Layer 3 (blockchains-l3),$0.01 ,$0.10 ,900%,MC at 12 months > $100M,"$395,822,987.00 ","$94,223,468.00 ","$1,754,493,095.86 ","$417,647,356.28 ",$0.20 ,$0.03 
2020,Akash,AKASH,10/18/20,"$3,037,564 ","$295,883,263 ","$54,118,300 ","$417,390,013 ",5.60%,70.90%,"$149,460,414 ",DePIN,$0.50 ,$2.60 ,420%,MC at 12 months > $100M,"$302,318,685.00 ","$50,574,239.00 ","$5,386,215,167.96 ","$901,048,286.88 ",$6.53 ,$0.26 
2020,Injective,INJ,10/20/20,"$11,633,906 ","$445,201,376 ","$76,791,486 ","$1,358,538,137 ",15.10%,32.80%,"$228,417,641 ",Layer 1 (blockchains-l1),$0.80 ,$13.60 ,1600%,MC at 12 months > $100M,"$165,651,850.00 ","$153,306,766.00 ","$1,093,411,939.22 ","$1,011,926,207.33 ",$12.21 ,$1.97 
2020,PancakeSwap,CAKE,10/20/20,"$20,457,504 ","$4,797,916,410 ","$183,285,449 ","$6,077,896,408 ",11.20%,78.90%,"$2,409,186,957 ",Exchange (CEX/DEX),$0.60 ,$20.50 ,3317%,MC at 12 months > $100M,"$3,494,274,450.00 ","$628,939,958.00 ","$31,306,344,190.25 ","$5,634,878,164.81 ",$22.75 ,$4.42 
2020,Barnbridge,BARNBRIDGE,10/25/20,"$5,155,968 ","$139,189,984 ","$1,768,998,163 ","$293,630,568 ",0.30%,47.40%,"$72,172,976 ",Asset Management,$176.90 ,$29.40 ,-83%,MC at 12 months > $100M,"$57,747,690.00 ","$48,318,016.00 ","$19,813,070,509.26 ","$16,577,775,801.52 ",$42.48 ,$4.88 
2020,Axie,AXIE,11/3/20,"$7,754,756 ","$8,943,596,326 ","$39,338,902 ","$38,277,575,046 ",19.70%,23.40%,"$4,475,675,541 ",Gaming,$0.10 ,$141.80 ,141700%,MC at 12 months > $100M,"$515,324,931.00 ","$945,714,068.00 ","$2,614,178,571.03 ","$4,797,488,540.07 ",$9.33 ,$8.67 
2020,Woo,WOO,11/5/20,"$3,478,280 ","$674,733,446 ","$94,384,911 ","$3,672,552,272 ",3.70%,18.40%,"$339,105,863 ",Exchange (CEX/DEX),$0.10 ,$1.20 ,1100%,MC at 12 months > $100M,"$378,783,300.00 ","$228,191,452.00 ","$10,278,479,035.27 ","$6,192,092,036.29 ",$0.87 ,$0.19 
2020,Rendernetwork,RENDERNETWORK,11/11/20,"$16,556,803 ","$505,047,474 ","$60,153,256 ","$1,494,720,954 ",27.50%,33.80%,"$260,802,138 ",DePIN,$0.10 ,$2.80 ,2700%,MC at 12 months > $100M,"$126,301,357.00 ","$189,435,807.00 ","$458,871,067.12 ","$688,247,640.20 ",$0.77 ,$0.60 
2020,NEAR,NEAR,11/22/20,"$214,628,933 ","$5,222,674,423 ","$1,079,161,351 ","$9,286,434,597 ",19.90%,56.20%,"$2,718,651,678 ",Layer 1 (blockchains-l1),$1.10 ,$9.30 ,745%,MC at listing > $100M,"$1,307,725,646.00 ","$1,295,171,971.00 ","$6,575,287,661.12 ","$6,512,167,369.35 ",$3.40 ,$1.56 
2020,Truefi,TRUEFI,11/24/20,"$38,594,702 ","$240,895,238 ","$184,797,069 ","$536,242,329 ",20.90%,44.90%,"$139,744,970 ",Lending,$0.20 ,$0.40 ,100%,MC at 12 months > $100M,"$121,229,803.00 ","$34,723,121.00 ","$580,465,999.45 ","$166,259,373.82 ",$0.38 ,$0.04 
2020,Api3,API3,11/29/20,"$15,768,990 ","$201,407,589 ","$165,505,881 ","$626,860,234 ",9.50%,32.10%,"$108,588,289 ",Infrastructure,$1.30 ,$5.00 ,285%,MC at 12 months > $100M,"$75,202,325.00 ","$107,416,421.00 ","$789,297,669.18 ","$1,127,405,711.56 ",$3.46 ,$1.54 
2020,Badgerdao,BADGERDAO,12/3/20,"$1,689,250 ","$185,967,851 ","$94,898,434 ","$392,399,577 ",1.80%,47.40%,"$93,828,550 ",Asset Management,$4.50 ,$18.70 ,316%,MC at 12 months > $100M,"$160,354,823.00 ","$45,421,461.00 ","$9,008,389,277.52 ","$2,551,680,046.70 ",$18.09 ,$2.72 
2020,Skalenetwork,SKALENETWORK,12/3/20,"$57,164,924 ","$796,732,165 ","$515,589,715 ","$1,565,160,956 ",11.10%,50.90%,"$426,948,544 ",Layer 1 (blockchains-l1),$0.10 ,$0.30 ,200%,MC at 12 months > $100M,"$406,495,776.00 ","$113,701,601.00 ","$3,666,322,398.97 ","$1,025,513,058.58 ",$0.42 ,$0.03 
2020,Thegraph,THEGRAPH,12/16/20,"$148,533,349 ","$3,221,892,630 ","$1,209,032,089 ","$6,145,750,264 ",12.30%,52.40%,"$1,685,212,989 ",Infrastructure,$0.10 ,$0.60 ,500%,MC at listing > $100M,"$885,514,925.00 ","$472,895,674.00 ","$7,207,916,382.56 ","$3,849,277,273.18 ",$0.72 ,$0.06 
2020,Beefy,BEEFY,12/21/20,"$5,758,996 ","$104,301,598 ","$6,222,887 ","$106,527,116 ",92.50%,97.90%,"$55,030,297 ",Asset Management,$77.80 ,"$1,331.60 ",1612%,MC at 12 months > $100M,"$111,301,568.00 ","$26,166,331.00 ","$120,266,984.14 ","$28,274,046.56 ","$1,467.80 ",$327.18 
2020,1inch,1INCH,12/24/20,"$151,190,931 ","$1,160,629,059 ","$3,534,458,302 ","$4,128,772,242 ",4.30%,28.10%,"$655,909,995 ",DEX Aggregator,$2.40 ,$2.80 ,17%,MC at listing > $100M,"$450,506,858.00 ","$305,482,945.00 ","$10,531,701,166.43 ","$7,141,412,014.15 ",$2.61 ,$0.40 
2020,Fraxstablecoin,FRAXSTABLECOIN,12/27/20,"$9,808,922 ","$833,324,163 ","$392,490,257 ","$2,328,982,072 ",2.50%,35.80%,"$421,566,543 ",Stablecoin Issuer,$3.90 ,$23.40 ,500%,MC at 12 months > $100M,"$29,365,316.00 ","$343,903,504.00 ","$1,175,011,935.43 ","$13,760,816,394.32 ",$1.81 ,$4.73 
2021,Lido,LDO,1/4/21,"$5,193,326 ","$221,113,678 ","$1,750,891,483 ","$3,308,805,579 ",0.30%,6.70%,"$113,153,502 ",Liquid Staking,$1.80 ,$3.30 ,83%,MC at 12 months > $100M,"$45,556,464.00 ","$995,022,105.00 ","$15,359,025,182.17 ","$335,464,349,636.67 ",$1.62 ,$1.20 
2021,Flow,FLOW,1/26/21,"$161,821,128 ","$1,588,010,630 ","$8,670,155,994 ","$6,821,296,012 ",1.90%,23.30%,"$874,915,879 ",Layer 1 (blockchains-l1),$6.90 ,$5.00 ,-28%,MC at listing > $100M,"$1,066,284,989.00 ","$1,171,711,990.00 ","$57,130,099,777.15 ","$62,778,735,131.18 ",$20.01 ,$1.13 
2021,Celo,CELO,2/3/21,"$289,530,109 ","$1,239,472,593 ","$2,964,360,402 ","$3,027,997,225 ",9.80%,40.90%,"$764,501,351 ",Layer 2 (blockchains-l2),$3.00 ,$3.00 ,0%,MC at listing > $100M,"$352,899,410.00 ","$367,528,504.00 ","$3,613,168,386.90 ","$3,762,948,688.23 ",$2.65 ,$0.75 
2021,Raydium,RAYDIUM,2/22/21,"$132,460,778 ","$230,568,937 ","$6,749,549,642 ","$1,530,044,274 ",2.00%,15.10%,"$181,514,858 ",Exchange (CEX/DEX),$12.20 ,$2.80 ,-77%,MC at listing > $100M,"$436,162,750.00 ","$52,636,015.00 ","$22,224,708,155.62 ","$2,682,072,395.80 ",$7.43 ,$0.29 
