Deal ID,Companies,Verticals,Company Country/Territory/Region,Year Founded,Company City,HQ Global Sub Region,HQ Global Region,HQ Location,Primary PitchBook Industry Code,Primary PitchBook Industry Group,Primary PitchBook Industry Sector,Deal Date,Time to Exit,Deal Type,Post Valuation,Raised to Date,Description,Investors,Shock_Category,Shock_Subcategory,Causal_Justification
324515-62T,Ieva Group (PAR: ALIEV),"Beauty, E-Commerce, Internet of Things, Mobile",France,2016,Paris,Western Europe,Europe,"Paris, France",Personal Products,Consumer Non-Durables,Consumer Products and Services (B2C),26-Mar-26,10,IPO,146.19,75.88,"IEVA Group SA specializes in the development and marketing of skincare and beauty products (face and body care, makeup, hair care, etc.). In addition, the group designs and develops skin and hair diagnostic tools, artificial intelligence-based applications, and connected devices that analyze skin and hair condition and environmental impact, and offer personalized beauty routines. IEVA Group has organized its activities into three operational Business Units - IEVA Tech, IEVA Beauty, and IEVA Experience.",,Other,N/A,Beauty and skincare brand with connected diagnostic devices; primarily a consumer products company not triggered by any shock catalyst.
318213-55T,Mezoo (KRX: 0088M0),"HealthTech, Internet of Things, Wearables & Quantified Self",South Korea,2018,Wonju-si,East Asia,Asia,"Wonju-si, South Korea",Monitoring Equipment,Healthcare Devices and Supplies,Healthcare,26-Mar-26,8,IPO,141.88,15.05,"Mezoo Co Ltd is engaged in the development, manufacturing, and sales of medical devices, and these activities are conducted in accordance with the Medical Devices Act and related laws. Its products are Smart Patch, Smart View, and Live Studio.",,Other,N/A,"Medical device manufacturer (smart patches, wearable monitors); hardware medical device company not triggered by typology shock catalysts."
324112-87T,General Oceans (OSL: GENO),"Manufacturing, Robotics and Drones",Norway,2021,Rud,Northern Europe,Europe,"Rud, Norway",Other Hardware,Computer Hardware,Information Technology,26-Mar-26,5,IPO,424.7,57.38,"General Oceans ASA is an ocean technology company engaged in providing underwater solutions, including sensors, systems, and robotic technologies for marine environments. The group operates through two segments: Sensors and Robotics. The Sensors segment focuses on instrumentation technologies for measuring ocean dynamics, imaging, and navigation, while the Robotics segment provides remotely operated and autonomous vehicle solutions with associated manipulators and control systems. It generates the majority of its revenue from the Sensors segment. The company serves industries such as ocean science, defense, and offshore energy through a portfolio of specialized brands.",,Other,N/A,"Ocean technology company providing underwater sensors, systems, and robotic technologies; specialized hardware for marine environments not triggered by any shock catalyst."
304404-13T,SeeYA Technology (SHG: 688781),"Advanced Manufacturing, Augmented Reality, Virtual Reality",China,2016,Hefei,East Asia,Asia,"Hefei, China","Computers, Parts and Peripherals",Computer Hardware,Information Technology,25-Mar-26,10,IPO,3292.14,160.05,"Developer of miniature display devices designed for intelligent devices. The company develops high resolution, high contrast, low power consumption, and ultra-compact display devices by utilizing organic light-emitting diode (OLED) and silicon-based micro-display technology, enabling businesses in industries such as helmet display, smart eyes, electronic viewfinder, and virtual reality/augmented reality to develop reliable and easy-to-use intelligent devices.","Advanced Micro-Fabrication Equipment (SHG: 688012), Arashi Vision (SHG: 688775), China Internet Investment Fund, COSMX (SHG: 688772), Guotai Junan Zhengyu Investment, Hefei Industry Investment Group, Oled Material Tech (SHG: 688378), Shanghai Pudong Innovation Investment Development",Other,N/A,OLED and silicon-based micro-display hardware manufacturer for VR/AR devices; display hardware company not triggered by any shock catalyst.
304739-74T,Galaxis Technology (HKG: 02729),"Advanced Manufacturing, Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps, Industrials, Manufacturing, Robotics and Drones, SaaS, Supply Chain Tech",China,2014,Jiaxing,East Asia,Asia,"Jiaxing, China","Computers, Parts and Peripherals",Computer Hardware,Information Technology,24-Mar-26,12,IPO,910.95,161.36,"Zhejiang Galaxis Technology Group Co Ltd is principally engaged in the research and development, production of logistics robots and intelligent logistics equipment and systems. The company's robotics solutions are used in intralogistics operations, including systems for storage, sorting, and transport. It operates under three core product lines: multi-directional shuttle robots (MSRs), autonomous mobile robots (AMRs), and conveying and sorting robots (CSRs). The company generates revenue from its intelligent intralogistics solutions through the sale of robots and systems, and after sales and other services. Geographically, it generates the maximum revenue from the Chinese Mainland.",,Other,N/A,"Industrial logistics robotics manufacturer (AMRs, shuttle robots, sorting robots); physical automation hardware company not triggered by any shock catalyst."
295051-51T,New Vision Electronics (HKG: 02632),"Artificial Intelligence & Machine Learning, Augmented Reality, Autonomous cars",China,2015,Yangzhou,East Asia,Asia,"Yangzhou, China",Road,Commercial Transportation,Business Products and Services (B2B),24-Mar-26,11,IPO,697.03,102.55,"Jiangsu New Vision Automotive Electronics Co Ltd is principally engaged in research and development and production and sale of head-up display (HUD) solutions, testing solutions and other initiatives. The company provides solutions that are centered on CyberLens, its windshield HUD (W-HUD) solution, and CyberVision, its augmented reality HUD (AR-HUD) solution, supplemented by testing solutions and other visual technology initiatives. It derives revenue from the Sales of HUD solutions, mainly from CyberLens.",,Other,N/A,Automotive head-up display (HUD) hardware manufacturer; automotive electronics company not triggered by any shock catalyst.
325545-49T,Metric (Human Capital Services),"Artificial Intelligence & Machine Learning, HR Tech",United States,2019,New York,North America,Americas,"New York, NY",Human Capital Services,Commercial Services,Business Products and Services (B2B),24-Mar-26,7,Buyout/LBO,100,,"Operator of a recruitment platform intended to provide talent across life sciences, medical devices, industrial, and construction industries. The company offers data-driven executive search methods and a step-by-step breakdown of the hiring process, enabling clients to hire ideal candidates and build performing teams.",Southfield Capital(Christopher Grambling),Technology Shock,Cloud Computing,AI-driven recruitment platform with data-driven executive search; cloud-based SaaS HR tech enabled by post-AWS cloud infrastructure.
305409-16T,Fiberstore (HKG: 03355),,China,2009,Shenzhen,East Asia,Asia,"Shenzhen, China",Fiberoptic Equipment,Communications and Networking,Information Technology,23-Mar-26,17,IPO,2126.77,83.86,"FS.COM Ltd operates as a DTC networking solution provider, principally engaged in the sales of optical communication products. It operates through its online platform, FS.com. The company's offerings include networking equipment, networking operating systems, and cloud-based network management platforms used in applications such as high-performance computing, data centers, enterprise networks, and telecommunications, supporting businesses' digital infrastructure needs. The majority of revenue is derived from the provision of its General networking solutions and High-performance networking solutions. Geographically, the company generates the maximum revenue from the United States.","GF International Investment Management, Kaifeng Investment, Shanghai Caitong Asset Management, SOSV SCGC China Management Company, WT Asset Management",Technology Shock,Cloud Computing,DTC networking equipment provider via online platform (FS.com) serving data centers and cloud infrastructure; business model built on cloud computing demand.
326424-70T,World View,"Artificial Intelligence & Machine Learning, Mobility Tech, Robotics and Drones, Space Technology",United States,2012,Tucson,North America,Americas,"Tucson, AZ",Aerospace and Defense,Commercial Products,Business Products and Services (B2B),23-Mar-26,14,Merger/Acquisition,150,2784.62,"World View Inc Formerly World View Enterprises Inc is a leading stratospheric exploration and flight company offering on-demand and high-resolution sensing. World View's patent-protected technology provides for persistent coverage and daily imaging of areas of interest and is an affordable alternative to satellites, drones, and other comparable imagery providers. Using its information-gathering platform, World View conducts stratospheric flight operations to provide high-resolution data and analytics for domestic and international use cases and customers.",Ondas (NAS: ONDS)(Eric Brock),Other,N/A,Stratospheric flight and high-altitude imaging company; aerospace hardware not triggered by any shock catalyst in typology.
286204-96T,Horizon Quantum Holdings (NAS: HQ),,Singapore,2018,Singapore,Southeast Asia,Asia,"Singapore, Singapore",Software Development Applications,Software,Information Technology,20-Mar-26,8,Reverse Merger,503,22.18,"Horizon Quantum Holdings Ltd is building software infrastructure to make quantum computers accessible to commercial enterprises and hardware providers. By bridging the gap between hardware and applications, the company seeks to equip developers, researchers, and enterprises with the quantum software infrastructure needed to solve real-world problems. The company is developing tools that can automatically accelerate code written for conventional computers on quantum computers.",dMY Squared Technology Group(Harry You),Other,N/A,Quantum computing software infrastructure company; quantum computing is a deep-tech category not captured by any shock catalyst in the typology.
324507-43T,IMBiologics (KRX: 493280),"Life Sciences, Oncology",South Korea,,Suwon-si,East Asia,Asia,"Suwon-si, South Korea",Drug Discovery,Pharmaceuticals and Biotechnology,Healthcare,20-Mar-26,,IPO,261.67,99.08,"IMBiologics Corp is a next-generation biopharmaceutical company developing antibody therapeutics. Its proprietary IM-OpDECon platform enables the design of differentiated biologics targeting autoimmune diseases and immuno-oncology. The group leverages diverse antibody modalities to tackle critical unmet medical needs beyond the reach of current therapies. Its business areas are Antibody Research & Development and Autoimmune Diseases Immuno-Oncology. The group's pipeline products are IMB-101/102, IMB-201, and IMB-402.",,Scientific Breakthrough,Monoclonal Antibody Platform,Next-generation biopharmaceutical company developing antibody therapeutics via proprietary IM-OpDECon platform for autoimmune and immuno-oncology; business model built on monoclonal antibody platform technology.
287487-28T,YOOV,"Artificial Intelligence & Machine Learning, CloudTech & DevOps, SaaS",Hong Kong,2016,Hong Kong,East Asia,Asia,"Hong Kong, Hong Kong",Business/Productivity Software,Software,Information Technology,18-Mar-26,10,Merger/Acquisition,600,,"Developer of business artificial intelligence (AI) and automation platform intended to enhance business operations. The company is committed to providing cloud-based management systems for SMEs, permitting clients to streamline their operations, improve efficiency, and drive digital transformation.",Concorde International Group (NAS: CIGL)(Alan Keng),Technology Shock,Cloud Computing,Cloud-based business AI and automation SaaS platform for SMEs; business model built on cloud infrastructure and SaaS delivery.
307491-13T,Sedemac (NSE: SEDEMAC),"CleanTech, Climate Tech, LOHAS & Wellness, Manufacturing, Mobility Tech",India,2007,Pune,South Asia,Asia,"Pune, India",Electrical Equipment,Commercial Products,Business Products and Services (B2B),11-Mar-26,19,IPO,654.8,118.58,"Sedemac Mechatronics Ltd is engaged in the business of development, manufacture, and supply of controllers/electronic control units(ECUs). It is a supplier of high-volume critical controllers/ECUs having novel motor, engine, supervisory, and other control technologies. The company operates in various sectors, namely, power generators, powered equipment, electric vehicles, and electric bikes etc. Its reportable segments are: Mobility and Industrial. The majority of the company's revenue is derived from the Mobility segment, which includes motor control & transmission systems such as integrated starter generators, electronic fuel injection, automated manual transmissions, & control units used in electric bicycles & electric vehicles. Geographically, the maximum revenue is derived from India.",,Other,N/A,Electronic control unit (ECU) manufacturer for mobility and industrial applications; automotive electronics hardware company not triggered by any shock catalyst.
288099-19T,Wiz,"Cybersecurity, SaaS",United States,2020,New York,North America,Americas,"New York, NY",Network Management Software,Software,Information Technology,11-Mar-26,6,Merger/Acquisition,32000,1801,"Developer of a cloud security platform designed to help businesses secure their infrastructure at scale. The company's platform offers cloud visibility services for enterprise security by offering an overview of security risks across clouds, containers, and workloads without the need for agents or sidecars, enabling businesses to identify vulnerabilities, misconfigurations, network exposure, manage identities and privileges, and discover exposed secrets.",Alphabet (NAS: GOOGL)(Sundar Pichai),Technology Shock,Cloud Computing,"Cloud security platform providing agentless visibility across cloud workloads; business model entirely built on protecting cloud infrastructure, acquired by Alphabet for $32B."
245587-87T,FreeCast (NAS: CAST),TMT,United States,2011,Orlando,North America,Americas,"Orlando, FL",Entertainment Software,Software,Information Technology,10-Mar-26,15,IPO,1348.3,52.63,"FreeCast Inc is a streaming technology company that provides platform-as-a-service solutions for television and digital video distribution. Its platform infrastructure supports telecom operators, internet service providers, broadcasters, municipalities, utilities, brands, and device manufacturers in deploying and managing digital media and streaming services.",,Technology Shock,Cloud Computing,Streaming technology platform-as-a-service for television and digital video distribution; cloud-based PaaS model enabled by cloud computing infrastructure.
324306-01T,Ostro,"Artificial Intelligence & Machine Learning, HealthTech, SaaS",United States,2018,Miami,North America,Americas,"Miami, FL",Other Healthcare Technology Systems,Healthcare Technology Systems,Healthcare,10-Mar-26,8,Merger/Acquisition,100,81.95,"Operator of a patient engagement and telemedicine platform designed to streamline the patient journey, from consumer engagement to provider education. The company's platform includes virtual consultations, shipping, logistics, regulatory compliance with integrated payments, and financial services, enabling patients to get access to healthcare products and services online.",Veeva Systems (NYS: VEEV)(Peter Gassner),Institutional & Regulatory Shock,Health IT / Insurance Expansion,Patient engagement and telemedicine platform for streamlining patient journey with virtual consultations; digital health platform enabled by EHR digitization and telehealth adoption post-HITECH/ACA.
277945-84T,ALSCO Solutions (HKG: 02649),"Mobility Tech, Supply Chain Tech",China,2016,Suzhou,East Asia,Asia,"Suzhou, China",Logistics,Commercial Services,Business Products and Services (B2B),9-Mar-26,10,IPO,127.12,28.57,"Alsco Pooling Service Co Ltd operates as a reusable packaging service provider in China, serving automotive parts manufacturers and OEMs. It offers pooling services under a shared-use model, managing reusable packaging such as pallets, crates, and containers, including storage, distribution, return coordination through third-party logistics providers, cleaning, and maintenance. The company also provides rental services, warehouse and container management services, and sells containers to customers that manage their own packaging operations. Its business segments are: container services and container sales. The majority of its revenue is derived from the provision of pooling services within the container services segment. Geographically, the maximum revenue is generated from the PRC.",,Other,N/A,Reusable packaging pooling service provider for automotive supply chain; traditional logistics service company not triggered by any shock catalyst.
322412-05T,SmartShooter (TAE: SMSH),"Industrials, Manufacturing",Israel,2011,Yagur,Middle East,Middle East,"Yagur, Israel",Aerospace and Defense,Commercial Products,Business Products and Services (B2B),5-Mar-26,15,IPO,290.09,87.27,"Smart Shooter Ltd is engaged in the development, production, and sale of electro-optical fire control. It develops Fire Control Systems for small arms that significantly increase weapon accuracy and lethality when engaging static and moving targets, on the ground and in the air, day and night. With effective One Shot - One Hit precision, its product line empowers defense and security forces by maximizing rifle effectiveness against enemy targets while minimizing friendly casualties and collateral damage. Based on Artificial Intelligence, Computer Vision, and Machine Learning technologies, it is also designed to interconnect with other operational resources to form a micro-tactical network. Its systems solutions are SMASH 2000L (3000), SMASH Hopper 5000, and others.",,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
323670-97T,Whip Around,"Mobile, SaaS, Supply Chain Tech",New Zealand,2016,Auckland,Oceania,Oceania,"Auckland, New Zealand",Business/Productivity Software,Software,Information Technology,3-Mar-26,10,Buyout/LBO,100,14.4,"Developer of a cloud-based inspection and maintenance platform designed to connect drivers, mechanics, and fleet managers. The company's platform allows users to connect vehicles, drivers, managers, and mechanics with no clunky hardware or contracts with powerful checklists, enabling clients to stay compliant with the fleet and manage inspection records and faults, and create maintenance schedules and work orders.",Accel-KKR(Park Durrett),Technology Shock,Cloud Computing,"Founded post-AWS launch; business model delivers software/services via the cloud, eliminating the need for on-premise infrastructure."
313506-19T,BeatBox Beverages,,United States,2011,Austin,North America,Americas,"Austin, TX",Beverages,Consumer Non-Durables,Consumer Products and Services (B2C),27-Feb-26,15,Merger/Acquisition,575,23.34,"Producer of alcoholic beverages intended for the young crowd to help them party. The company's beverages are low in calories, packed in a box, and well-suited for parties, and also offer ready-to-drink cocktails, enabling consumers to have a refreshing drink.",Anheuser-Busch InBev (BRU: ABI),Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
320892-76T,Generate Biomedicines (NAS: GENB),"Artificial Intelligence & Machine Learning, HealthTech, Life Sciences",United States,2018,Somerville,North America,Americas,"Somerville, MA",Biotechnology,Pharmaceuticals and Biotechnology,Healthcare,27-Feb-26,8,IPO,"2,039.20","1,093.00","Generate Biomedicines Inc is a clinical-stage generative biology company pioneering the AI revolution in biotechnology and drug design and development. The company's single operating segment is engaged in the field of generative biology by using machine learning for drug discovery and development through the programming of novel protein therapeutics. Its product candidates include: GB-0895, GB-4362, and GB-5267. Through the company's Generate Platform, it can generate medicines on demand across multiple therapeutic modalities with unprecedented speed representing a fundamental shift in drug discovery.",,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
319243-78T,Innovacell (TKS: 504A),Life Sciences,Japan,,Tokyo,East Asia,Asia,"Tokyo, Japan",Drug Discovery,Pharmaceuticals and Biotechnology,Healthcare,24-Feb-26,,IPO,364.23,193.45,"Innovacell Inc is engaged in the development, manufacturing, and sale of regenerative medicine products for the treatment of conditions including fecal and urinary incontinence. Its activities include researching potential therapeutic candidates, developing formulations, and commercializing products in the markets. The company is working on the development and commercialization of the following three cell therapy pipelines targeting incontinence (fecal and urinary incontinence): ICEF15, ICEF16, and ICES13.",,Other,N/A,Founding year missing; cannot apply temporal validation.
323006-50T,Origin AI (Network Management Software),SaaS,United States,2012,Rockville,North America,Americas,"Rockville, MD",Network Management Software,Software,Information Technology,24-Feb-26,14,Merger/Acquisition,170,58.03,"Developer of a wireless sensing device designed to provide consumers with a wide range of information in various applications. The company's platform provides various applications like indoor monitoring and security with the use of commercial WiFi devices, indoor positioning and tracking, presence and occupancy detection, sleep monitoring, child presence detection in a car, and more, enabling companies to build a wide range of Wi-Fi smart home, security, internet service provider applications with high performance, low cost, and ease of use.",ADT (IT Security Company) (NYS: ADT)(Omar Khan),Technology Shock,Cloud Computing,Founded after the AWS S3/EC2 launch; business model relies on cloud infrastructure to eliminate capital expenditure on physical servers.
303015-61T,Eagle Nuclear Energy (NAS: NUCL),,United States,2021,Reno,North America,Americas,"Reno, NV","Other Metals, Minerals and Mining","Metals, Minerals and Mining",Materials and Resources,24-Feb-26,5,Reverse Merger,312,12.76,"Developer of an integrated nuclear energy platform designed to strengthen domestic uranium supply and support reliable power generation from resource development to deployment. The company's platform offers uranium exploration assets combined with modular reactor designs, factory-based assembly, and long-life reactor architecture, enabling utilities, industrial operators, remote communities, and data infrastructure operators to access dependable nuclear energy while supporting national energy security and grid resilience.",Spring Valley Acquisition II(Christopher Sorrells),Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
315028-72T,YourBio Health,HealthTech,United States,2007,Medford,North America,Americas,"Medford, MA",Other Devices and Supplies,Healthcare Devices and Supplies,Healthcare,23-Feb-26,19,Merger/Acquisition,150,101.11,"Developer of a bladeless blood collection device designed to eliminate pain and anxiety from the blood draw process. The company offers a push-button device powered by proprietary microneedle technology that can be placed on the patient's upper arm, which begins collecting blood with the press of a button, enabling pediatric patients and caregivers to access painless, convenient blood collection at home or in clinical settings.",Hims & Hers Health (NYS: HIMS),Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
313998-76T,Sirion,"Artificial Intelligence & Machine Learning, SaaS",United States,2012,Lehi,North America,Americas,"Lehi, UT",Business/Productivity Software,Software,Information Technology,23-Feb-26,14,Buyout/LBO,"1,000.00",182,"Developer of a contract management platform designed for enterprise supplier management. The company's platform automatically validates incoming invoices based on what was promised in the contract and reconciles invoice amounts against performance metrics, enabling clients to govern, manage, and execute contracts across their business ecosystem.",Haveli Investments(Sumit Pande),Technology Shock,Cloud Computing,Founded after the AWS S3/EC2 launch; business model relies on cloud infrastructure to eliminate capital expenditure on physical servers.
